id,artist,title,gender,language,year,timeless,genre,theme,difficulty,coopfriendly,bpm,cover
"MrRockNRoll,Amy MacDonald,Mr. Rock and Roll,Both,,2007,,Rock,""Love, Deep, Party"",VeryEasy,Coop,,669274"
"Think,Aretha Franklin,Think,Both,,1968,,Pop,""Love, Deep, Party"",VeryEasy,,,102210"
"WhatTheHell,Avril Lavigne,What The Hell,Both,,2011,,Pop,""Love, Deep, Party"",VeryEasy,,,88170452"
"Grenade,Bruno Mars,Grenade,Both,,2010,,Pop,""Love, Deep, Party"",VeryEasy,,,739505"
"TheLazySong,Bruno Mars,The Lazy Song,Both,,2011,,Pop,""Love, Deep, Party"",VeryEasy,,,739505"
"LeFreak,Chic,Le Freak,Both,,1978,,Pop,""Love, Deep, Party"",VeryEasy,,,7079268"
"Bubbly,Colbie Caillat,Bubbly,Both,,2007,,Pop,""Love, Deep, Party"",VeryEasy,,,117359"
"Mercy,Duffy,Mercy,Both,,2008,,Pop,""Love, Deep, Party"",VeryEasy,,,254149"
"TheFinalCountdown,Europe,The Final Countdown,Both,,1986,,Rock,""Love, Deep, Party"",VeryEasy,,,97615"
"ChangedTheWayYouKissedMe,Example,Changed the Way You Kiss Me,Both,,2011,,Electro,""Love, Deep, Party"",VeryEasy,,,571446761"
"LikeAG6,Far East Movement ft. The Cataracs & Dev,Like a G6,Both,,2010,,Electro,""Love, Deep, Party"",VeryEasy,,,662289"
"RightRound,Flo Rida ft. Ke$ha,Right Round,Both,,2009,,Pop,""Love, Deep, Party"",VeryEasy,,,387876"
WeAreYoung,Fun ft. Janelle Monáe,We Are Young,Men,English,2011,,Pop,Party,Hard,Coop,92,1543242
"SweetAboutMe,Gabriella Cilmi,Sweet About Me,Both,,2008,,Pop,""Love, Deep, Party"",VeryEasy,,,100400"
"NotOverYou,Gavin DeGraw,Not Over You,Both,,2011,,Pop,""Love, Deep, Party"",VeryEasy,,,1100680"
"HereComesTheHotstepper,Ini Kamoze,Here Comes the Hotstepper,Both,,1994,,HipHop,""Love, Deep, Party"",VeryEasy,,,1211447"
"BrokenStrings,James Morrison ft. Nelly Furtado,Broken Strings,Both,,2008,,Pop,""Love, Deep, Party"",VeryEasy,,,229099"
"Celebration,Kool & The Gang,Celebration,Both,,1980,,Pop,""Love, Deep, Party"",VeryEasy,,,9751930"
"InForTheKill,La Roux,In for the Kill,Both,,2009,,Electro,""Love, Deep, Party"",VeryEasy,,,371822"
"BornThisWay,Lady Gaga,Born This Way,Both,,2011,,Pop,""Love, Deep, Party"",VeryEasy,,,1075407"
"JustDance,Lady Gaga ft. Colby O'Donis,Just Dance,Both,,2008,,Electro,""Love, Deep, Party"",VeryEasy,,,433789"
"VideoGames,Lana Del Rey,Video Games,Both,,2011,,Ballad,""Love, Deep, Party"",VeryEasy,,,1424452"
PartyRockAnthem,LMFAO ft. Lauren Bennett & GoonRock,Party Rock Anthem,Men,English,2011,,Electro,Party,Hard,Coop,130,1152698
"Euphoria,Loreen,Euphoria,Both,,2012,,Electro,""Love, Deep, Party"",VeryEasy,,,6600790"
"MovesLikeJagger,Maroon 5 ft. Christina Aguilera,Moves Like Jagger,Both,,2011,,Pop,""Love, Deep, Party"",VeryEasy,,,1167403"
"CantBeTamed,Miley Cyrus,Can't Be Tamed,Both,,2010,,Pop,""Love, Deep, Party"",VeryEasy,,,593484"
PartyInTheUSA,Miley Cyrus,Party in the USA,Women,,2009,,Pop,Party,Easy,Coop,,394156
"DontUpsetTheRhythm,Noisettes,Don't Upset the Rhythm,Both,,2009,,Pop,""Love, Deep, Party"",VeryEasy,,,296661"
"CrazyLittleThingCalledLove,Queen,Crazy Little Thing Called Love,Both,,1980,,Rock,""Love, Deep, Party"",Medium,,,1121182"
"UnderPressure,Queen & David Bowie,Under Pressure,Both,,1982,,Rock,""Love, Deep, Party"",Medium,,,1127912"
"WhatAWonderfulWorld,Sam Cooke,(What A) Wonderful World,Both,,1960,,Pop,""Love, Deep, Party"",VeryEasy,,,1249008"
"SheDoesntMind,Sean Paul,She Doesn't Mind,Both,,2011,,HipHop,""Love, Deep, Party"",VeryEasy,,,1494589"
"TwoPrinces,Spin Doctors,Two Princes,Both,,1991,,Rock,""Love, Deep, Party"",VeryEasy,,,96039"
"ComeOnGirl,Taio Cruz ft. Luciana,Come On Girl,Both,,2008,,Pop,""Love, Deep, Party"",VeryEasy,,,650663"
"DontCha,The Pussycat Dolls ft. Busta Rhymes,Don't Cha,Both,,2005,,Pop,""Love, Deep, Party"",VeryEasy,,,124322"
"SympathyForTheDevil,The Rolling Stones,Sympathy for the Devil,Both,,1968,,Rock,""Love, Deep, Party"",VeryEasy,,,912322"
"AllFiredUp,The Saturdays,All Fired Up,Both,,2011,,Pop,""Love, Deep, Party"",VeryEasy,,,1331236"
"JustCantGetEnough,The Saturdays,Just Can't Get Enough,Both,,2009,,Pop,""Love, Deep, Party"",VeryEasy,,,284636"
"DriveBy,Train,Drive By,Both,,2012,,Pop,""Love, Deep, Party"",VeryEasy,,,1678770"
"BuddyHolly,Weezer,Buddy Holly,Both,,1994,,Rock,""Love, Deep, Party"",VeryEasy,,,249099"
TakeOnMe,A-ha,Take On Me,Men,English,1984,Timeless,Pop,Party,Medium,Coop,169,80521
"NeverEver,All Saints,Never Ever,Both,,1997,,Pop,""Love, Deep, Party"",Easy,,,84657"
"1Thing,Amerie,1 Thing,Both,,2005,,Pop,""Love, Deep, Party"",VeryEasy,,,68099192"
HeartOfGlass,Blondie,Heart Of Glass,Women,English,1979,,Pop,Love,VeryEasy,,115,301232
"LockedOutOfHeaven,Bruno Mars,Locked Out of Heaven,Both,,2012,,Pop,""Love, Deep, Party"",VeryEasy,,,6157080"
"WhenIWasYourMan,Bruno Mars,When I Was Your Man,Both,,2013,,Ballad,""Love, Deep, Party"",VeryEasy,,,6157080"
"CallMeMaybe,Carly Rae Jepsen,Call Me Maybe,Women,English,2011,,Pop,""Party, Love"",Medium,Coop,120,1673192"
"DoYouReallyWantToHurtMe,Culture Club,Do You Really Want To Hurt Me,Men,English,1982,,Pop,""Deep, Love"",VeryEasy,Coop,100,303135"
"ComeOnEileen,Dexy's Midnight Runners,Come On Eileen,Both,,1982,,Rock,""Love, Deep, Party"",Easy,,,396029"
"Lights,Ellie Goulding,Lights,Both,,2010,,Electro,""Love, Deep, Party"",VeryEasy,,,707980"
